Birthplace,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
England,"148,767","157,317","164,871","171,543","177,312","182,973","189,417","192,117","186,915","182,346","178,470","174,753","171,111","167,733","165,513","162,966","159,021"
India,"46,956","49,119","53,562","59,568","65,328","71,454","76,362","81,267","89,823","103,998","117,801","126,360","133,221","140,298","148,050","147,375","147,267"
"China, People's Republic of","80,661","79,503","79,899","81,594","83,898","86,535","91,074","95,841","102,669","111,522","122,127","132,939","138,741","143,052","140,658","137,424","134,262"
South Africa,"42,114","44,742","49,278","54,033","55,284","55,659","55,989","56,610","58,065","59,934","63,711","68,889","73,617","81,357","90,777","91,443","91,557"
Philippines,"15,972","19,923","25,230","30,111","32,658","35,184","38,046","40,893","45,378","51,546","58,782","65,613","72,360","79,944","85,914","86,478","88,353"
Australia,"60,243","60,879","61,494","61,887","62,784","63,015","63,027","63,963","65,919","68,352","71,094","73,563","75,303","76,920","78,888","79,086","79,386"
Fiji,"39,999","43,440","47,910","52,518","54,816","55,563","56,487","57,624","58,821","60,174","61,842","63,225","64,191","65,421","66,807","66,591","66,600"
Samoa,"50,532","52,155","53,979","55,113","55,767","55,935","55,701","54,768","54,588","54,891","55,449","56,148","57,048","58,140","60,315","60,651","62,697"
United Kingdom (not further defined),"46,965","45,804","44,094","41,937","38,997","34,734","29,133","28,047","35,616","42,012","47,304","52,599","56,097","59,709","64,242","63,975","62,649"
"Korea, Republic of","28,005","28,830","29,112","29,307","29,676","29,367","28,854","28,512","28,629","29,361","30,381","31,704","32,334","33,006","33,624","32,529","31,269"
Tonga,"23,247","24,111","25,098","25,935","26,562","27,015","27,219","27,294","27,543","27,777","28,101","28,290","28,494","28,779","30,321","29,952","29,694"
United States of America,"17,838","18,729","19,563","20,271","20,937","21,618","22,272","22,887","23,730","24,258","25,131","26,103","27,108","28,023","29,943","30,456","29,616"
Malaysia,"15,108","16,218","17,169","17,526","17,661","17,682","17,592","17,553","17,871","18,216","19,107","19,890","20,526","20,853","21,492","21,324","21,408"
Scotland,"18,963","19,620","20,280","20,907","21,423","21,942","22,620","22,884","22,161","21,459","20,859","20,328","19,818","19,320","18,963","18,549","17,940"
Sri Lanka,"7,272","7,512","8,046","8,571","8,928","9,327","9,957","10,473","11,094","11,748","12,831","13,779","15,081","16,134","17,370","17,328","17,493"
Netherlands,"19,050","19,212","19,281","19,239","19,176","19,074","18,945","18,828","18,714","18,543","18,360","18,168","17,994","17,781","17,736","17,277","16,803"
Germany,"10,329","11,139","11,889","12,366","12,567","12,882","12,993","13,362","13,560","13,968","14,391","14,871","15,027","15,330","16,287","15,726","15,120"
Hong Kong (Special Administrative Region),"10,422","10,263","10,026","9,996","9,954","9,936","9,912","9,987","10,119","10,341","10,659","11,016","11,175","11,568","12,261","12,462","12,474"
Canada,"8,658","8,895","9,075","9,342","9,486","9,651","9,822","10,005","10,224","10,428","10,887","11,259","11,619","12,024","12,621","12,348","11,937"
Japan,"9,738","9,882","10,053","10,074","10,107","10,398","10,779","11,019","11,355","11,904","12,420","12,702","12,765","13,035","13,389","12,597","11,799"
Thailand,"7,161","7,620","8,184","8,580","8,907","9,045","9,189","9,456","9,717","10,056","10,590","10,965","11,163","11,472","12,042","11,808","11,487"
Viet Nam,"5,277","5,391","5,625","5,952","6,474","6,945","7,191","7,410","7,677","8,037","8,676","9,447","10,176","10,932","11,553","11,295","11,019"
Taiwan,"10,782","10,599","10,491","10,293","10,059","9,870","9,618","9,597","9,723","9,912","10,101","10,374","10,623","10,821","10,863","10,635","10,542"
Brazil,"2,628","3,249","3,846","4,062","4,095","4,092","4,131","4,254","4,596","5,307","6,363","7,584","8,673","9,843","10,719","10,608","10,314"
Cook Islands,"10,911","10,887","10,989","11,037","11,151","11,169","11,115","10,953","10,845","10,710","10,596","10,488","10,269","10,143","10,080","10,029","10,197"
Ireland,"6,477","6,510","6,750","7,215","7,662","8,343","9,084","9,774","10,392","10,443","10,284","10,158","10,029","10,164","10,458","10,227","9,852"
Zimbabwe,"8,274","8,538","8,955","9,201","9,264","9,066","8,760","8,544","8,493","8,448","8,469","8,565","8,622","8,691","8,910","8,895","8,823"
Russia,"4,674","4,893","5,061","5,313","5,589","5,814","6,036","6,276","6,612","7,005","7,368","7,749","8,115","8,355","8,715","8,637","8,607"
Cambodia,"5,661","5,745","5,913","6,132","6,348","6,561","6,768","6,972","7,164","7,335","7,509","7,725","7,770","7,833","7,941","7,872","7,779"
Indonesia,"4,488","4,575","4,758","4,842","4,962","5,019","5,070","5,241","5,442","5,748","6,189","6,639","6,921","7,176","7,674","7,578","7,359"
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
